created_at	reposts_count	comments_count	attitudes_count	text
2015-02-26	8	51	185	到到到到到上海辣！！！<a href='https://m.weibo.cn/n/SNH48-张韵雯--'>@SNH48-张韵雯--</a> 我猴🐒生日快乐！！！蛋糕还有吗！！！ ​​​
2015-03-01	12	120	192	五杀！开心！练舞去！<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png" style="width:1em;height:1em;" alt="[爱你]"></span> ​​​
2015-03-03	7	126	231	体检很顺利，抽血时还没来得及哭呢就抽完了一点都不疼<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9f81f72301.png" style="width:1em;height:1em;" alt="[可爱]"></span>~ 最开心的是见到了我亲爱的同学和老师们<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-8e9a1a0346.png" style="width:1em;height:1em;" alt="[心]"></span>~ 现在在回上海的路上，还有一支舞没扒感觉今晚不用睡了！！ ​​​
2015-03-08	14	117	223	😷 <a data-url="http://t.cn/Rw3M65A" target="_blank" href="http://weibo.cn/sinaurl/blockedde3d2e4c?url=http%3A%2F%2Fwww.meipai.com%2Fmedia%2F273637243&sinainternalbrowser=topnav&share_menu=1&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=1076035491330253&u=http%3A%2F%2Fwww.meipai.com%2Fmedia%2F273637243&ep=C7Dnahw63%2C5491330253%2CC7Dnahw63%2C5491330253" class=""><span class="url-icon"><img src="https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png"></span></i><span class="surl-text">美拍</a>（通过 <a class='k' href='https://m.weibo.cn/k/%E7%BE%8E%E6%8B%8D?from=feed'>#美拍#</a> 拍摄） ​​​
2015-03-12	6	132	223	不要担心呀命菌[呵呵]she is still alive ​​​
2015-03-17	12	175	288	目前唯一玩的手游…终于上王者了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png" style="width:1em;height:1em;" alt="[泪]"></span> 虽然我还是很菜<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> 小时候特别喜欢诺基亚自带的3D贪吃蛇，现在貌似都没了…有人玩过咩？嗯…你们平时都玩什么呀~ ​​​
2015-03-29	5	64	253	和晶儿去吃烤肉啦~我真的不该穿白裙子吃饭的<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png" style="width:1em;height:1em;" alt="[泪]"></span><a data-url="http://t.cn/RA4nhXM" target="_blank" href="https://weibo.cn/sinaurl/blocked63d8efcd?from=singlemessage&isappinstalled=0&luicode=10000011&lfid=1076035491330253&u=http%3A%2F%2Fwww.meipai.com%2Fmedia%2F289672023%3Ffrom%3Dsinglemessage%26isappinstalled%3D0&ep=CaNpI6VHh%2C5491330253%2CCaNpI6VHh%2C5491330253" class=""><span class="url-icon"><img src="//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png"></span></i><span class="surl-text">网页链接</a> ​​​
2015-03-31	12	133	279	对不起我并不知道要怎么给自己洗了😂记住这才是真实的我！！请不要取关😂😂😂嘤嘤嘤 ​​​
2015-04-01	13	94	184	关于家暴什么的…在视频流露出来之前我都想维持自己温柔贤惠的正统美少女形象[呵呵] 然后今天阳光好棒我好开心ww早安大家<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/others/w_taiyang-eebe0749ad.png" style="width:1em;height:1em;" alt="[太阳]"></span>
2015-04-01	5	141	309	1.说我腿短的，公演见<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> 2.说我殴打闫明筠的，公演见<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> 3.说我声音为什么变了的，公演见<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> 我拿起了小本本，想记下你们的ID，却发现各种snh-XX是shen！me！gui！ ​​​
2015-04-02	8	106	273	呵呵哒。[呵呵] ​​​
2015-04-03	11	96	292	翻翻以前的微博...我本来是走正统软妹路线的，直到遇见了呀命菌。 ​​​
2015-04-07	21	146	329	ヾ(*´∇｀*)ノ晚上好~ 最近训练好忙，没有出去玩，没有拍照片...原谅我不知道更什么了啦&gt; &lt;~~ 拿以前的cos照凑数【喂！！！ 【有想我吗 ,,Ծ‸Ծ,, ​​​
2015-04-20	20	170	332	逛完街又饿了😂 回去要练舞所以不会胖的啦w（大概） 你们也要好好次饭 不管有多忙~ <span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png" style="width:1em;height:1em;" alt="[爱你]"></span> ​​​
2015-04-21	12	153	332	我尊的很想扎双马尾…唉<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> 你们先笑 我去哭会儿 ​​​
2015-04-21	16	160	348	两张图总结束宝宝的所有表情<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-15d670f89f.png" style="width:1em;height:1em;" alt="[兔子]"></span> ​​​
2015-04-24	18	138	343	💛💛终于睡地上啦~ 菌菇新买了笔记本还要看说明书…我该从哪教起阿😂 ​​​
2015-04-25	13	92	318	本来想在图1上配一句非主流的话..想了半天没想到<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png" style="width:1em;height:1em;" alt="[笑cry]"></span> 今天除了买西瓜和吃西瓜以外没做什么特别的事情。。<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_sikao-7f3b022e72.png" style="width:1em;height:1em;" alt="[思考]"></span>除了欺负菌菇还有什么有意思的事咩~ ​​​
2015-04-27	10	90	293	自从昨天给菌菇推荐了我以前最喜欢的蔷薇少女。。她就一直在毁我的童年 QUQ 【又给大米的饼干打广告来了hhh ​​​
2015-04-29	14	134	353	今天跟桃子自拍。她教导我…不穿外套是一天的自拍，穿上外套拍又能发一天，换个背景又能发一天，换个滤镜又能发一天…[呵呵] 【来看外务的大家辛苦啦！晚上回去注意安全噢~ ​​​
2015-05-03	10	115	369	辛苦了一下午…剧组就只给我发了一片面包 <span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png" style="width:1em;height:1em;" alt="[泪]"></span><a href='https://m.weibo.cn/n/SNH48-孙静怡'>@SNH48-孙静怡</a> 说好的盒饭呢~ ​​​
2015-05-04	15	165	368	今天去医院挂号，护士姐姐让我给她就医卡。我看都没看就递过去了烤肉店打折卡....丢死人了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> 还有补药被预告片吓到了...我真的是个非常温油的人<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png" style="width:1em;height:1em;" alt="[doge]"></span>【最后一张丸砸头 ​​​
2015-05-04	34	140	324	菌菇已经玩了一天一夜的MC了。连续不停的那种。谁去救救她。。。 ​​​
2015-05-07	19	179	387	然而陪伴束宝未成年最后一天的是一颗麦粒肿<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png" style="width:1em;height:1em;" alt="[泪]"></span> 肯定是提醒我要好好保护眼睛 该干嘛干嘛 不要老想着去网吧打游戏 <span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png" style="width:1em;height:1em;" alt="[泪]"></span> 呜呜…明天会来么~<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span> ​​​
2015-05-08	9	96	145	谢谢丸子！！！昨天辛苦剪辑到半夜…感动cry<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png" style="width:1em;height:1em;" alt="[泪]"></span> 王叔现在就去隔壁把你吃掉<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_chanzui-ad3f4f182c.png" style="width:1em;height:1em;" alt="[馋嘴]"></span> 么么哒！！【今天最大的感想就是我终于从束宝宝变成了王叔叔…
2015-05-08	45	258	542	今天真的超开心！！！（导致我整场公演都笑的眯着眼睛😂）谢谢你们来陪我过生日！！尤其是外地赶来的小伙伴~辛苦啦！！只能明年再请你们次蛋糕了~会陪我一起走下去的吧<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png" style="width:1em;height:1em;" alt="[爱你]"></span>爱你们~么么哒~~ ​​​
2015-05-17	7	105	294	晚安~🐰🌙 <a data-url="http://t.cn/R2wf5Zp" target="_blank" href="https://weibo.cn/sinaurl/blockedd53af957?syncref=sinapost&luicode=10000011&lfid=1076035491330253&u=http%3A%2F%2Fwb.papa.me%2Fpost%2Fz7O3t1TF%3Fsyncref%3Dsinapost&ep=Cij9GdOEW%2C5491330253%2CCij9GdOEW%2C5491330253" class=""><span class="url-icon"><img src="//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png"></span></i><span class="surl-text">网页链接</a> ▶ (来自<a href='https://m.weibo.cn/n/啪啪'>@啪啪</a>) ​​​
2015-05-18	9	128	357	出去走走，看看路上的风景，太阳还是那么的可爱。读几页自己喜欢的书，无聊的时候和朋友聊聊天，种种菜。真的，一天下来，果然还是觉得lol有趣多了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_dahaqi-6a5eb3a95c.png" style="width:1em;height:1em;" alt="[哈欠]"></span> ​​​
2015-05-19	15	183	336	<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png" style="width:1em;height:1em;" alt="[微笑]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png" style="width:1em;height:1em;" alt="[微笑]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png" style="width:1em;height:1em;" alt="[微笑]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png" style="width:1em;height:1em;" alt="[微笑]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span> 好崩溃。不想写作文【打滚 ​​​
2015-05-20	16	110	204	谢谢麻麻<a href='https://m.weibo.cn/n/SNH48-孙静怡'>@SNH48-孙静怡</a> 谢谢丸砸<a href='https://m.weibo.cn/n/SNH48-杨韫玉--'>@SNH48-杨韫玉--</a> 辛苦了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png" style="width:1em;height:1em;" alt="[爱你]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png" style="width:1em;height:1em;" alt="[爱你]"></span> 虽然拍的时候吓得半死…但正片我也没看懂<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_han-4ce3c6bac3.png" style="width:1em;height:1em;" alt="[汗]"></span> 所以请等待麻麻的长微博讲解剧情~ 最后希望你们能满意<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9f81f72301.png" style="width:1em;height:1em;" alt="[可爱]"></span>【我似乎离你们心中温暖又特别的存在越来越远了…都是泪<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span>】
2015-05-20	17	123	332	我一直觉得爱是一种很神圣的东西，应该认真对待而不是轻易说出…所以我不说，并不代表我不爱，希望你们能感受到<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_jiyan-ae754a591c.png" style="width:1em;height:1em;" alt="[挤眼]"></span>（一本正经的给害羞找借口）然后~咳~我说不投你们才会多投嘛<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png" style="width:1em;height:1em;" alt="[doge]"></span>谁不会演哦~ ​​​
2015-05-21	20	145	351	别人学校食堂/我们学校食堂 <span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span> ​​​
2015-05-21	8	167	333	偶尔换个画风~ 晚安啦😘 ​​​
2015-05-23	11	129	376	我是一个在全班同学面前背课文都紧张的人<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span> ​​​
2015-05-23	9	100	337	桃聚生日快乐！！！🎂🎂🎂今天一起看公演太棒惹！！把嗓子都喊哑了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png" style="width:1em;height:1em;" alt="[笑cry]"></span> 看到梦中情人的时候，桃子说兰兰和卡哥站位近真好，可以一只眼睛看兰兰，一只眼睛看卡哥…<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png" style="width:1em;height:1em;" alt="[微笑]"></span> 总之成年快乐！早日成长成成熟的桃子！！最后！公演回去路上注意安全啊！！<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span> ​​​
2015-05-24	8	147	329	今天和聪聪去吃烤肉了~<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png" style="width:1em;height:1em;" alt="[哈哈]"></span> ​​​
2015-05-25	11	143	320	我到底是为了什么陪邵傻聪在地上睡了一晚上。<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png" style="width:1em;height:1em;" alt="[泪]"></span>活生生的喂了一晚上蚊子………[崩溃] ​​​
2015-05-26	32	152	319	第二届总选拉票演讲~<a data-url="http://t.cn/R25ssO8" href="https://m.weibo.cn/p/index?containerid=23119389fbfa4b28a71d7273136c28978d9532&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=1076035491330253&ep=CjEzbBN7o%2C5491330253%2CCjEzbBN7o%2C5491330253" data-hide=""><span class="url-icon"><img src="https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png"></span></i><span class="surl-text">SNH48 第二届总选拉票会演讲 汪束（字幕版）</a> 一直以来想对你们说的都在里面啦~ 特别感谢字幕组，辛苦了🙏🏻！！（我的普通话也是很感人…）然后近期不会缺公演~ 答应过你们我会一直在哒~<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png" style="width:1em;height:1em;" alt="[爱你]"></span> ​​​
2015-05-27	16	163	381	→_→  （就这样静静的看着你 ​​​
2015-05-29	8	130	348	难忘的一天<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png" style="width:1em;height:1em;" alt="[微笑]"></span> 感觉被送到山里拍了变形计。 ​​​
2015-05-30	7	115	356	缓解下你们的思念之情→_→ ​​​
2015-06-01	6	122	214	<a class='k' href='https://m.weibo.cn/k/%E6%99%9A%E5%AE%89?from=feed'>#晚安#</a>深夜鸡汤（强行和兔子有关（摘自睡前治愈我blx的深夜物语（纪念小黄🐰久等啦 晚安🌙 <a data-url="http://t.cn/R2igErb" target="_blank" href="https://weibo.cn/sinaurl/blocked5ecf0e88?syncref=sinapost&luicode=10000011&lfid=1076035491330253&u=http%3A%2F%2Fwb.papa.me%2Fpost%2FR4TI2C5j%3Fsyncref%3Dsinapost&ep=CkAB9D3Gh%2C5491330253%2CCkAB9D3Gh%2C5491330253" class=""><span class="url-icon"><img src="//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png"></span></i><span class="surl-text">网页链接</a> ▶ (来自<a href='https://m.weibo.cn/n/啪啪'>@啪啪</a>) ​​​
2015-06-02	12	147	313	到家啦到家啦到家啦~啊要是有任意门就好了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png" style="width:1em;height:1em;" alt="[哆啦A梦微笑]"></span>明早去上课！我（亲）妈让我带手机去学校玩一天→_→ 【不要问我这迷之像素是怎么回事 ​​​
2015-06-03	7	137	358	一想到还要写一下午数学我就想逃学了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> 看完题目在草稿纸上就只写了这个……麻麻我要回家<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png" style="width:1em;height:1em;" alt="[泪]"></span> ​​​
2015-06-03	12	191	343	哼哼哼。出去玩了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> ​​​
2015-06-06	11	157	401	以前考试我总说自己没复习…其实熬夜看了书。这次真的要裸考了→_→ （反正成绩出了也不会告诉你们的！）然后祝所有的考生们明天加油啦！希望大家都能取得理想的成绩~晚安<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png" style="width:1em;height:1em;" alt="[爱你]"></span> ​​​
2015-06-08	17	176	438	美颜十级的欺诈😃 语数英还能写写…明天是真的不会了😭 ​​​
2015-06-10	12	184	405	毕业了😭 ​​​
2015-06-12	22	240	464	很累但是很开心w有机会也很想尝试下其他的工作~（虽然没剪进去 但我真的擦了两个多小时的杯子…😭 ）还有当时听到呀命菌要去网吧我都惊呆了…这孩子可能连电脑都不会开→_→ 不过还是蠢蠢的完成了很棒w<a href='https://m.weibo.cn/n/SNH48-闫明筠'>@SNH48-闫明筠</a> 
2015-06-15	9	156	392	今天和大米去看了侏罗纪公园~ 然后我真受不了大米和呀命菌了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span><a href='https://m.weibo.cn/n/SNH48-李晶'>@SNH48-李晶</a> <a href='https://m.weibo.cn/n/SNH48-闫明筠'>@SNH48-闫明筠</a> 都给我走<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> ​​​
2015-06-20	45	173	570	天天为闫明筠操碎了心。她却抱着我宝的枕头跟我说阿芬真好看她好喜欢<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> 我想婧婧。 ​​​
2015-06-20	15	161	412	非常感谢你们让我得到日榜冠军<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png" style="width:1em;height:1em;" alt="[爱你]"></span>谢谢！！！不知道问答还满意咩&gt; &lt; 我会继续努力哒~（鞠躬）也非常感谢你们的应援！！最后祝大家端午节安康<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_chanzui-ad3f4f182c.png" style="width:1em;height:1em;" alt="[馋嘴]"></span>本宝要去次粽子辣~ ​​​
2015-06-23	13	225	513	迫于现实把lol下回来了……又要顶着几百ping的网坑队友了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span><span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span><a href='https://m.weibo.cn/n/SNH48-王晓佳'>@SNH48-王晓佳</a> 救我！！！ ​​​
2015-06-25	18	214	474	我真的青铜5的……<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> ​​​
2015-06-26	17	170	413	啊啊啊啊啊啊啊啊~明天会来咩……<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-3da77c6e68.png" style="width:1em;height:1em;" alt="[羞嗒嗒]"></span> ​​​
2015-06-28	23	347	509	戴着美瞳什么都看不清啦<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png" style="width:1em;height:1em;" alt="[doge]"></span>天上的草带我飞~~ ​​​
2015-07-03	14	195	449	其实今天画了马甲线…<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png" style="width:1em;height:1em;" alt="[笑cry]"></span>没有人注意到咩好sad……蓝后听说我击掌的时候笑崩了……因为不想被说盐啊→_→ 我哪里盐啊都笑崩了<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png" style="width:1em;height:1em;" alt="[拜拜]"></span> ​​​
2015-07-05	12	175	449	辛苦啦~谢谢大家的应援~下雨路上小心☔️~ 本宝最近沉迷在卡通农场里无法自拔了😂 怎么会有这么好玩的游戏呢~ 【勒死小🐶系列😜 ​​​
2015-07-06	14	155	468	一到下雨天就好困<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_dahaqi-6a5eb3a95c.png" style="width:1em;height:1em;" alt="[哈欠]"></span> ​​​
2015-07-08	13	153	422	对不起啦~真是让你们操碎了心<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c20969286b.png" style="width:1em;height:1em;" alt="[悲伤]"></span>。蟹蟹今天的应援哦粉色的棒子我很喜欢<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-3da77c6e68.png" style="width:1em;height:1em;" alt="[羞嗒嗒]"></span> 然后祝妈妈和冉冉生日快乐🎂 <span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_haoaio-7e8b09c61e.png" style="width:1em;height:1em;" alt="[好爱哦]"></span>虽然麻麻经常打我。不给我饭次。但我造你四爱我的<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_qiuguanzhu-fab2d61cc5.png" style="width:1em;height:1em;" alt="[求关注]"></span> 还有冉冉宝宝以后继续一起次次次<span class="url-icon"><img src="//h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiaohaha-8698b3ad3f.png" style="width:1em;height:1em;" alt="[笑哈哈]"></span>么么么么哒！<a href='https://m.weibo.cn/n/SNH48-宋昕冉'>@SNH48-宋昕冉</a> <a href='https://m.weibo.cn/n/SNH48-孙静怡'>@SNH48-孙静怡</a> ​​​
